Serial Number,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Title,Edition,Frequency,Place of Publication,Publisher,Year,Series Title,Physical Description,Notes,International Standard Book Number,International Standard Serial Number,Price,Reference Number
1,"Furniss, Tracey",,,,,,,,,,100 Top tables 2015 / edited by Tracey Furniss.,,,Hong Kong,South China Morning Post Publishers Limited,2015,,186 p. : col. ill. ; 23 cm.,Includes index,978-962-8148-31-8 (pbk.),,$168.00,2017-00802
2,"Furniss, Tracey",,,,,,,,,,100 Top tables 2016 / edited by Tracey Furniss.,,,Hong Kong,South China Morning Post Publishers Limited,2016,,194 p. : col. ill. ; 23 cm.,Includes index,978-962-8148-59-2 (pbk.),,$168.00,2017-00803
3,Vocational Training Council,,,,,,,,,,2015 Manpower survey report : hotel industry = 酒店業2015年人力調查報告書 / Vocational Training Council.,,,Hong Kong,Vocational Training Council,2017,,"iv, 534 p. : charts ; 30 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-02090
4,"Chung, Sin Ting",,,,,,,,,,2016 FIA Formula E HKT Hong Kong ePrix = 國際汽聯香港電訊電動方程式賽車錦標賽 / chief edited by Chung Sin Ting.,,,Hong Kong,Formula Electric Racing (Hong Kong) Limited,2016,,80 p. : col. ill. ; 30 cm.,Text in Chinese and English,978-988-77666-0-5 (pbk.),,$50.00,2017-00838
5,Vocational Training Council,,,,,,,,,,2016 Manpower survey report : automobile industry = 汽車業2016年人力調查報告書 / Vocational Training Council.,,,Hong Kong,Vocational Training Council,2017,,"v, 134 p. : charts ; 30 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-02138
6,,,,,,,,,,,2017 Official guide to ICT industry in Hong Kong = 2017香港通訊業概覽.,,,Hong Kong,Communications Association of Hong Kong Limited,2016,,182 p. : col. ill. ; 30 cm.,Text in Chinese and English,978-988-98162-9-2,,$300.00,2017-00540
7,"Wong, Catherine",,,,,,,,,,4 Key question types decoded : biology / Catherine Wong.,,,Hong Kong,Hong Kong Educational Publishing Company,2016,HKDSE exam series,"iv, 190 p. : ill. (some col.) ; 29 cm.",,978-988-236-579-7 (pbk.),,$92.00,2017-02040
8,"Education Bureau. Curriculum Development Institute. Personal, Social and Humanities Education Section",,,,,,,,,,"70TH anniversary of the victory of the War of Resistance against Japanese Aggression : selections from the Hsu Chung Mao collection = 抗戰勝利七十周年圖片集 : 徐宗懋藏品選 / edited by Personal, Social and Humanities Education Section, Curriculum Development Institute, Education Bureau.",,,Hong Kong,Education Bureau,2016,,"viii, 256 p. : ill. (some col.) ; 30 cm. + 1 DVD-ROM",Text in Chinese and English,978-988-8159-90-1 (pbk.),,Unpriced,2017-02044
9,A8 New Media Group,,,,,,,,,,A8 New Media Group interim report 2016 = A8新媒體集團中期報告2016.,,,Hong Kong,A8 New Media Group,2016,,"42, 42 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-00571
10,Aberdeen Kai-fong Welfare Association Social Service,,,,,,,,,,Aberdeen Kai-fong Welfare Association Social Service annual report 2015-2016 = 香港仔坊會社會服務年報2015-2016.,,,Hong Kong,Aberdeen Kai-fong Welfare Association Social Service,2016,,"56 p. : col. ill., col. chart ; 30 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-00569
11,,,,,,,,,,,"ACHS EQuIP6 Hong Kong guide. Book 1, Accreditation, standards and guidelines : clinical function.",6th ed.,,Hong Kong,Hospital Authority,2016,,215 p. ; 30 cm.,Includes bibliographical references,978-962-8741-19-9 (sp.),,Unpriced,2017-00037
12,,,,,,,,,,,"ACHS EQuIP6 Hong Kong guide. Book 2, Accreditation, standards and guidelines : support and corporate functions.",6th ed.,,Hong Kong,Hospital Authority,2016,,218-439 p. ; 30 cm.,Includes bibliographical references,978-962-8741-20-5 (sp.),,Unpriced,2017-00038
13,"Tong, S. S.",,,,,,,,,,"ACTIVE physics for HKDSE. 5, Radioactivity and nuclear energy / SS Tong ... [et al.].",,,Hong Kong,Pearson Education Asia Limited,2016,,"xiii, 122, 6 p. : col. ill. ; 29 cm.",Includes index,978-988-224-743-7 (pbk.),,$118.00,2017-00386
14,"Tong, S. S.",,,,,,,,,,"ACTIVE physics for HKDSE. 6, Astronomy and space science. Elective / SS Tong.",,,Hong Kong,Pearson Education Asia Limited,2016,,"xiii, 155, 7 p. : col. ill. ; 29 cm.",Includes index,978-988-233-070-2 (pbk.),,$152.00,2017-00387
15,"Tong, S. S.",,,,,,,,,,"ACTIVE physics for HKDSE. 6, Astronomy and space science. Elective. Teacher's edition / SS Tong.",,,Hong Kong,Pearson Education Asia Limited,2016,,"xiii, 155, 7 p. : col. ill. ; 29 cm.",Includes index,978-988-233-074-0 (pbk.),,Unpriced,2017-01595
16,"Lee, L. C.",,,,,,,,,,"ACTIVE physics for HKDSE. 7, Atomic world. Elective / LC Lee.",,,Hong Kong,Pearson Education Asia Limited,2016,,"xiii, 154, 6 p. : col. ill. ; 29 cm.",Includes index,978-988-224-745-1 (pbk.),,$152.00,2017-00388
17,"Fung, Karl",,,,,,,,,,"ACTIVE physics for HKDSE. 9, Medical physics. Elective. Teacher's edition / Karl Fung.",,,Hong Kong,Pearson Education Asia Limited,2016,,"xiii, 144, 7 p. : col. ill. ; 29 cm.",Includes index,978-988-233-076-4 (pbk.),,Unpriced,2017-01596
18,Aeso Holding Limited,,,,,,,,,,Aeso Holding Limited 2016 third quarterly report = 艾碩控股有限公司2016第三季度業績報告.,,,Hong Kong,Aeso Holding Limited,2017,,"20, 20 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01822
19,Alco Holdings Limited,,,,,,,,,,Alco Holdings Limited ⁮interim report 2016 = Alco Holdings Limited二零一六年中期報告.,,,Hong Kong,Alco Holdings Limited,2016,,"22, 22 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-00582
20,"King, Daphne",,,,,,,,,,ALISAN Fine Arts thirty-five years = 藝倡畫廊三十五周年 / edited by Daphne King.,,,Hong Kong,Alisan Fine Arts Limited,2016,,403 p. : col. ill. ; 31 cm.,"Includes index, Text in Chinese and English",978-988-13425-8-4,,$800.00,2017-01312
21,"Allom, Thomas","Li, H. K.",,,,,,,,,"China illustrated : scenery, architecture, and social habits 1843 = 中國清代寫實銅版畫1843 / Thomas Allom ; coloured by H.K. Li.",,,Hong Kong,Catherine Art Depot,2016,,162 p. : ill. (some col.) ; 30 cm.,Text in Chinese and English,978-988-77580-1-3 (pbk.),,$480.00,2017-00034
22,,,,,,,,,,,AMBROSIA = 客道.,,Semi-annually,Hong Kong,International Culinary Institute,Sep 2016,,61 p. : ill. (some col.) ; 27 cm.,Text in Chinese and English,,,Unpriced,2017-01892
23,"Wong, Tsz Kit",,,,,,,,,,AMPHIBIANS = 兩棲動物 / edited by Wong Tsz Kit.,,,Hong Kong,"Wong, Tsz Kit",2016,EdUHK ecology series. Night safari in EdUHK,48 p. : col. ill. ; 21 cm.,Text in Chinese and English,978-988-77546-1-9 (pbk.),,Unpriced,2017-00011
24,AMS Public Transport Holdings Limited,,,,,,,,,,AMS Public Transport Holdings Limited 2016/17 interim report = 進智公共交通控股有限公司2016/17中期報告書.,,,Hong Kong,AMS Public Transport Holdings Limited,2016,,"28, 28 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01217
25,"Sham, Richard Y. M.","Cheung, Lincoln","Low, Sue Yeung",,,,,,,,"ANNOTATED ordinances of Hong Kong : Copyright Ordinance (Cap 528) = 版權條例(第528章) / annotated by Richard YM Sham, Lincoln Cheung ; legal edited by Low Sue Yeung.",2016 reissue,,Hong Kong,LexisNexis,2016,,"xxxix, 638 p. ; 25 cm.",Glossary,978-988-8388-85-1 (pbk.),,$3295.00 (set),2017-00553
26,"Tam, Isabel","Low, Sue Yeung",,,,,,,,,ANNOTATED ordinances of Hong Kong : Environmental Impact Assessment Ordinance (Cap 499) = 環境影響評估條例(第499章) / annotated by Isabel Tam ; legal edited by Low Sue Yeung.,2017 reissue,,Hong Kong,LexisNexis,2017,,"xiv, 104 p. ; 25 cm.",Glossary,978-988-8388-99-8 (pbk.),,$3295.00 (set),2017-02323
27,"Lui, Victor","Low, Sue Yeung",,,,,,,,,ANNOTATED ordinances of Hong Kong : Independent Commission Against Corruption Ordinance (Cap 204) = 廉政公署條例(第204章) / annotated by Victor Lui ; legal edited by Low Sue Yeung.,2017 reissue,,Hong Kong,LexisNexis,2017,,"xii, 59 p. ; 25 cm.",Glossary,978-988-8389-00-1 (pbk.),,$3295.00 (set),2017-02324
28,"Sin, Antony M. H.","Low, Sue Yeung",,,,,,,,,ANNOTATED ordinances of Hong Kong : Sex Discrimination Ordinance (Cap 480) = 性別歧視條例(第480章) / annotated by Antony MH Sin ; legal edited by Low Sue Yeung.,2017 reissue,,Hong Kong,LexisNexis,2017,,"xxxvii, 300 p. ; 25 cm.",Glossary,978-988-8389-01-8 (pbk.),,$3295.00 (set),2017-02322
29,Anxian Yuan China Holdings Limited,,,,,,,,,,Anxian Yuan China Holdings Limited interim report 2017 = 安賢園中國控股有限公司中期報告2017.,,,Hong Kong,Anxian Yuan China Holdings Limited,2016,,"54, 54 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-00049
30,,,,,,,,,,,ARBOSOBO ddei sul.,,,Hong Kong,New Bridge Publishing Company Limited,2016,,890 p. : ill. (some col.) ; 22 cm.,Text in Yi Language,978-988-14810-1-6,,Unpriced,2017-00727
31,Artini China Company Limited,,,,,,,,,,Artini China Company Limited interim report 2016/17 = 雅天妮中國有限公司2016/17中期報告.,,,Hong Kong,Artini China Company Limited,2016,,"24, 24 p. ; ill. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01282
32,"Wong, Jonathan W. C.","Tyagi, Rajeshwar D.","Selvam, Ammaiyappan",,,,,,,,"ASIA-PACIFIC Conference on Biotechnology for Waste Conversion 2016 (BioWC 2016) : abstract book : 5th-8th December 2016, Hong Kong SAR, P.R. China / edited by Jonathan W.C. Wong, Rajeshwar D. Tyagi, Ammaiyappan Selvam.",,,Hong Kong,Hong Kong Baptist University. Sino-Forest Applied Research Centre for Pearl River Delta Environment,2016,,262 p. : ill. (some col.) ; 30 cm.,Includes index,978-988-19988-0-4 (pbk.),,Unpriced,2017-00036
33,"Bundro, Aparna Assomull",,,,,,,,,,ASIAN-MENA Counsel in-house handbook : the essential in-house resource / edited by Aparna Assomull Bundro.,2014/15 ed.,,Hong Kong,Pacific Business Press Limited,2014,,"ii, 282 p. : col. ill., col. charts, col. port ; 26 cm.",,978-988-12175-1-6 (pbk.),,Unpriced,2017-00538
34,"Thomson, Chris",,,,,,,,,,ASIAN-MENA Counsel in-house handbook : the essential in-house resource / edited by Chris Thomson.,2015/16 ed.,,Hong Kong,Pacific Business Press Limited,2015,,"ii, 320 p. : col. ill., col. charts, col. port ; 26 cm.",,978-988-12175-2-3 (pbk.),,Unpriced,2017-00539
35,"Aszkielowicz, Dean",,,,,,,,,,"The Australian pursuit of Japanese war criminals, 1943-1957 : from foe to friend / Dean Aszkielowicz.",,,Hong Kong,Hong Kong University Press,2017,,169 p. ; 24 cm.,Includes bibliographical references and index,978-988-8390-72-4,,$365.00,2017-03016
36,"Cheng, R.","Walenn, Jeremy","Walenn, Sara",,,,,,,,"ATHENS exam skills. For papers 1 & 2, Reading & writing. Book 2 / R Cheng, Jeremy Walenn, Sara Walenn.",,,Hong Kong,Athens Education,2016,,various paging : ill. (some col.) ; 29 cm.,,978-988-8294-01-5 (sp.),,$226.00,2017-02778
37,"Chan, Aaron",,,,,,,,,,"ATHENS exam skills. For paper 3, Listening & integrated skills. Book 2 / Aaron Chan ... [et al.].",,,Hong Kong,Athens Education,2016,,various paging : ill. (some col.) ; 29 cm.,,978-988-12168-0-9 (sp.),,$226.00,2017-02777
38,"Yee, Shin Jiun",,,,,,,,,,ATKIN'S court forms Hong Kong. Issue 51 / edited by Yee Shin Jiun.,,,Hong Kong,LexisNexis,2016,,various paging ; 25 cm.,,978-988-8388-75-2 (loose-leaf),,$2195.00,2017-00545
39,"Yee, Shin Jiun",,,,,,,,,,ATKIN'S court forms Hong Kong. Issue 52 / edited by Yee Shin Jiun.,,,Hong Kong,LexisNexis,2017,,various paging ; 25 cm.,,978-988-8388-93-6 (loose-leaf),,$2195.00,2017-02326
40,Aurum Pacific (China) Group Limited,,,,,,,,,,Aurum Pacific (China) Group Limited third quarterly report 2016 = 奧栢中國集團有限公司第三季度業績報告2016.,,,Hong Kong,Aurum Pacific (China) Group Limited,2016,,"28, 28 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-00060
41,Ausupreme International Holdings Limited,,,,,,,,,,Ausupreme International Holdings Limited interim report 2016 = 澳至尊國際控股有限公司中期業績報告2016.,,,Hong Kong,Ausupreme International Holdings Limited,2016,,"30, 30 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01475
42,AV Concept Holdings Limited,,,,,,,,,,AV Concept Holdings Limited interim report 2016/17 = AV Concept Holdings Limited中期報告2016/17.,,,Hong Kong,AV Concept Holdings Limited,2016,,"36, 36 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01457
43,Bamboos Health Care Holdings Limited,,,,,,,,,,Bamboos Health Care Holdings Limited first quarterly report 2016/2017 = 百本醫護控股有限公司2016/2017第一季度報告.,,,Hong Kong,Bamboos Health Care Holdings Limited,2016,,"18, 18 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01226
44,"Baruzzi, Agnese",,,,,,,,,,Opposite surprise / Agnese Baruzzi.,,,Hong Kong,Michael Neugebauer (Publishing) Limited,2017,,unpaged : col. ill. ; 17 cm.,,978-988-8342-63-1,,GBP9.99,2017-00730
45,"Baruzzi, Agnese",,,,,,,,,,Opposite surprise / Agnese Baruzzi.,,,Hong Kong,Michael Neugebauer (Publishing) Limited,2017,,unpaged : col. ill. ; 17 cm.,,978-988-8341-37-5,,USD12.99,2017-00731
46,,,,,,,,,,,BASHFUL to bold.,,,Hong Kong,Child Evangelism Fellowship (H.K.) Limited,2012,CEF visual,25 p. : ill. ; 30 cm.,,978-988-16702-9-8 (pbk.),,$40.00,2017-02137
47,Bauhaus International (Holdings) Limited,,,,,,,,,,Bauhaus International (Holdings) Limited interim report 2016 = 包浩斯國際(控股)有限公司中期報告2016.,,,Hong Kong,Bauhaus International (Holdings) Limited,2016,,"40, 40 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-00581
48,Bing Nv,,,,,,,,,,Embers / photographed by Bing Nv.,,,Hong Kong,Bromide Publishing House Limited,2016,,unpaged : ill. (some col.) ; 26 cm.,Text partially in simplified Chinese and Japanese,978-988-77600-0-9,,$280.00,2017-01433
49,BOC Hong Kong (Holdings) Limited,,,,,,,,,,"BOC Hong Kong (Holdings) Limited continuing connected transactions, 9 January 2017 = 中銀香港(控股)有限公司持續關連交易, 2017年1月9日.",,,Hong Kong,BOC Hong Kong (Holdings) Limited,2017,,"33, 33 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01304
50,Bright Smart Securities & Commodities Group Limited,,,,,,,,,,Bright Smart Securities & Commodities Group Limited 2016/17 interim report = 耀才證券金融集團有限公司2016/17中期報告.,,,Hong Kong,Bright Smart Securities & Commodities Group Limited,2016,,64 p. : charts ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-01309
51,,,,,,,,,,,BUG club : catch the reading bug : the whole-school reading programme for 21st century children = 21世紀兒童校本閱讀計劃.,,,Hong Kong,Pearson Education Asia Limited,2016,,23 p. : col. ill. ; 30 cm. + stickers,Text in Chinese and English,,,$22.00 (pbk.),2017-01647
52,"Wong, Tsz Kit",,,,,,,,,,BUTTERFLIES@EdUHK = 蝶蝶不休 / edited by Wong Tsz Kit.,,,Hong Kong,"Wong, Tsz Kit",2016,EdUHK ecology series,81 p. : col. ill. ; 21 cm.,"Includes bibliographical references, Text in Chinese and English",978-988-77546-0-2 (pbk.),,Unpriced,2017-00010
53,"Low, Sue Yeung",,,,,,,,,,BUTTERWORTHS Hong Kong banking law handbook : Banking Ordinance (Cap 155) = 銀行業條例(第155章) / legal edited by Low Sue Yeung.,4th ed.,,Hong Kong,LexisNexis,2016,,"xxxvi, 1583 p. ; 25 cm.",Glossary,978-988-8388-47-9 (pbk.),,$2200.00,2017-00555
