name,capacity,Originalprice,priceToday,channels
A.H.C - 第六代 全效眼霜 30ml,30毫升,US$104.00 ,US$64.00 ,NANA MALL
Manetti Roberts - 意大利百年古老蒸餾玫瑰水 300ml,300毫升,US$58.00 ,US$39.00 ,NANA MALL
明色 - 祛痘緊緻毛孔藥用美顏水 80ml (平行進口貨),,原價$96 | 今日至少7折,US$45.00 ,Cosme【感謝祭限定10月15-16日】
Sofina - 透美顏飽水控油雙效日間防護乳 SPF 50+ PA++++ 30g,,US$288.00 ,US$125.00 ,LIVING BEAUTY
Bioderma - 深層再生防敏卸妝潔膚水 - 紅蓋 500ml,,US$128.00 ,US$112.00 ,Jadora
MC Biken - 24K Beauty Bar 黃金棒,,原價$1099 | 今日至少7折,US$450.00 ,Cosme【感謝祭限定10月15-16日】
Neutrogena - 深層保濕面膜,15片,US$159.90 ,US$129.90 ,Johnson & Johnson
Moroccanoil - 摩洛哥優油 100ml,,原價$400 | 今日至少7折,US$259.00 ,Cosme【感謝祭限定10月15-16日】
The Ordinary - 去印收毛孔精華（30ml）,30ml,US$138.00 ,US$108.00 ,Jomaster
LOVEMORE - 愛戀魔法 豐台灣 天山雪蓮細緻雪白天絲面膜 5片/盒,5片/盒,US$58.00 ,US$54.00 ,Jadora
SANS SOUCIS - 甘菊去痘無瑕修復液,5毫升,,,Get It Beauty
Kiehl's - 亞瑪遜白泥毛孔深層清潔面膜 142g,142克,US$380.00 ,US$270.00 ,NANA MALL
Dr. wonder - 暗瘡神奇貼 (2.0Ver) 加強版 60片,,原價$138 | 今日至少7折,US$81.00 ,Cosme【感謝祭限定10月15-16日】
XHEKPON - 西班牙膠原蛋白頸紋霜 40ml 紫色字,,US$188.00 ,US$109.00 ,wishh! 官方旗艦店
Manetti Roberts - 意大利百年古老蒸餾玫瑰水 300ml,,US$99.00 ,US$39.00 ,Beauty Soulmates
Neutrogena - 深層美白修護面膜,7片,US$129.90 ,US$109.90 ,Johnson & Johnson
Nutraluxe Lash MD - 睫毛增長精華液 (香港行貨),1.5毫升,US$450.00 ,US$338.00 ,Beauty Box
Clarins - 調和身體護理油 -[平行進口],100ml,US$530.00 ,US$370.00 ,Beautique
Trilogy - 新西蘭有機認證玫瑰果油 45ml,,US$320.00 ,US$145.00 ,LIVING BEAUTY
Bioderma - 深層卸妝潔膚水 (敏感性肌膚)(3401345935571) (平行進口貨品),500ml,US$228.00 ,US$128.00 ,Bombuyman
Thursday Plantation - 100%純正茶樹油,10ml,US$86.90 ,US$60.80 ,Thursday Plantation
Pelican For Back - 背部粉刺痘痘祛痘香皂 135g,,原價$88 | 今日至少7折,US$30.00 ,Cosme【感謝祭限定10月15-16日】
The Ordinary - Hyaluronic Acid 2% + B5 30ml,,US$148.00 ,US$98.00 ,LIVING BEAUTY
Neutrogena - 細白晶透素顏霜.,50克,US$178.90 ,US$159.90 ,Johnson & Johnson
Thursday Plantation - 茶樹補濕修護面霜,65g,US$119.00 ,US$83.30 ,Thursday Plantation
城野醫生 - LABO LABO零毛孔細緻精華水,100毫升,US$140.00 ,US$86.00 ,Beauty Box
Shiseido - 洗顏專科 超微米潔顏乳(升級版)120g,120g,US$45.00 ,US$37.00 ,Jadora
